sku_id,daily_mean,daily_std,lead_time_days,unit_cost,safety_stock,reorder_point,forecast_next
SKU0031,1.288888888888889,2.4915337293711786,29,37.67,23.0,61.0,0.0
SKU0053,2.6777777777777776,2.421011849832362,16,50.41,16.0,59.0,2.2857142857142856
SKU0026,2.8222222222222224,2.2464842833760668,15,278.63,15.0,58.0,3.2857142857142856
SKU0064,3.388888888888889,2.599457352379809,12,142.4,15.0,56.0,4.428571428571429
SKU0066,1.2555555555555555,2.1335264425707416,28,130.79,19.0,55.0,0.0
SKU0074,1.2,2.3087522774545746,25,10.15,20.0,50.0,0.0
SKU0001,3.1,2.3177381457704733,11,124.59,13.0,48.0,2.2857142857142856
SKU0049,2.966666666666667,2.602721134384317,11,269.77,15.0,48.0,3.2857142857142856
SKU0027,1.2333333333333334,2.3893490251624905,21,198.81,19.0,45.0,0.0
SKU0029,3.2111111111111112,2.27094221125097,10,256.51,12.0,45.0,4.714285714285714
SKU0025,3.6222222222222222,2.4885254773029786,8,185.73,12.0,41.0,4.142857142857143
SKU0059,0.9555555555555556,1.835426112305488,25,211.49,16.0,40.0,0.0
SKU0012,2.977777777777778,2.467668588905156,9,289.92,13.0,40.0,2.7142857142857144
SKU0024,3.4444444444444446,2.356492876427634,8,239.15,11.0,39.0,2.2857142857142856
SKU0047,3.3555555555555556,2.2995412884591437,8,137.41,11.0,38.0,2.7142857142857144
SKU0065,0.9222222222222223,1.690872906524165,24,73.35,14.0,37.0,0.0
SKU0050,3.388888888888889,2.5821097742721952,7,147.86,12.0,36.0,4.714285714285714
SKU0035,1.1333333333333333,2.13688842358029,17,181.48,15.0,35.0,0.0
SKU0037,3.422222222222222,2.312534374006427,7,172.76,11.0,35.0,2.4285714285714284
SKU0038,1.0777777777777777,1.9152127688751504,18,121.05,14.0,34.0,0.0
SKU0004,3.2666666666666666,2.2970425538901154,6,104.7,10.0,30.0,2.857142857142857
SKU0055,3.688888888888889,2.782951486512054,5,166.55,11.0,30.0,3.857142857142857
SKU0067,3.7888888888888888,2.7045298847725765,5,266.15,10.0,29.0,3.2857142857142856
SKU0002,3.1555555555555554,2.355539066674911,6,278.73,10.0,29.0,3.7142857142857144
SKU0048,3.522222222222222,2.653078677106345,5,68.5,10.0,28.0,2.0
SKU0075,3.7888888888888888,2.7334566520094072,4,112.24,10.0,26.0,5.142857142857143
SKU0068,1.1555555555555554,2.398084962140196,10,104.06,13.0,25.0,0.0
SKU0013,3.077777777777778,2.1475241965532126,5,186.04,8.0,24.0,1.5714285714285714
SKU0032,3.3222222222222224,2.4806114585902788,4,117.54,9.0,23.0,4.0
SKU0077,0.9555555555555556,1.7604334955869592,12,57.75,11.0,23.0,0.0
SKU0078,3.022222222222222,2.521715920958877,4,164.89,9.0,22.0,3.857142857142857
SKU0015,3.6333333333333333,2.696022871906449,3,95.92,8.0,19.0,5.0
SKU0034,3.1,2.463440546439612,3,203.12,8.0,18.0,1.8571428571428572
SKU0056,3.466666666666667,2.4319964518010773,3,68.89,7.0,18.0,4.142857142857143
SKU0060,3.2,2.308752277454575,3,265.34,7.0,17.0,2.857142857142857
SKU0011,0.8222222222222222,1.480796762282393,10,180.16,8.0,17.0,0.0
SKU0005,3.3222222222222224,2.3788760341845223,3,175.43,7.0,17.0,3.857142857142857
SKU0040,1.1111111111111112,2.2657411637747744,6,256.19,10.0,17.0,0.0
SKU0036,2.7111111111111112,2.115987534448767,3,89.67,7.0,16.0,2.0
SKU0041,0.8666666666666667,1.697321088187057,5,219.3,7.0,12.0,0.0
SKU0061,0.8888888888888888,1.6314634255366929,5,191.06,7.0,12.0,0.0
SKU0003,1.0666666666666667,1.822456670158921,3,220.91,6.0,10.0,0.0
